_id,employeeInfo.id,employeeInfo.name,employeeInfo.phoneNumber,employeeInfo.jobRole,employeeInfo.location,employeeInfo.salary,employeeInfo.managerID,employeeInfo.isHR,userInfo.username,userInfo.password
664e2763cd851d726ea8db6c,382,Marie Nelson,6028369232,QA Engineer,San Francisco,67992,0,false,gcox,l^mrsLU-EEJ4
664e2763cd851d726ea8db6d,629,Christine Benton,(286)988-7933,Data Scientist,Philadelphia,122953,0,false,hsmith,]>H4X5oxlj'k
664e2763cd851d726ea8db6e,438,Holly Johnson,996-245-0694,DevOps Engineer,Houston,106370,0,false,vcole,$C]!nz*4Q:tO
664e2763cd851d726ea8db6f,192,Steven Anderson,8419983719,Data Scientist,Phoenix,53522,0,true,elizabethmcmahon,bA[ws9F\_R}g
664e2763cd851d726ea8db70,610,Carol Brown,7939801795,Product Manager,New York,68727,0,false,rodriguezkurt,$|pP8NI1Cg=z
664e2763cd851d726ea8db71,180,Elizabeth Hartman,4743191246,System Administrator,Phoenix,113737,0,true,hallmichael,"0]5'A""bEY:38"
664e2763cd851d726ea8db72,761,Amy Carter,319-447-0009,Software Engineer,Los Angeles,111699,0,false,comptonconnie,9k^Em0<qPT\/
664e2763cd851d726ea8db73,181,Kyle Johnson,976-398-6910,System Administrator,Chicago,59412,0,false,cassidy93,"}a""9P&JW8JUA"
664e2763cd851d726ea8db74,616,Kimberly Garza,999-620-4914,System Administrator,San Antonio,71509,0,true,parsonsstephanie,"+dR%9BI""9/[W"
664e2763cd851d726ea8db75,961,Ashley Blair,741-981-7441,System Administrator,San Francisco,124746,0,false,sharonyoung,B1BMjyt54?6p
664e2763cd851d726ea8db76,736,Timothy Rodriguez,389-677-6303,Software Engineer,Philadelphia,81612,0,false,sgarrett,",1C""jWh[r2q]"
664e2763cd851d726ea8db77,368,Albert Burgess,8243260419,QA Engineer,San Diego,83110,0,true,brooksmicheal,Ybx4!z]|AIIz
664e2763cd851d726ea8db78,63,Scott Johnson,(802)543-3079,QA Engineer,Chicago,93937,0,true,david50,Y63le^k&4jgB
664e2763cd851d726ea8db79,430,Lisa Perez,963-544-7320,DevOps Engineer,San Diego,67700,0,false,denisehardy,aSY{16O{rk6K
664e2763cd851d726ea8db7a,752,Katrina Mccoy,(617)704-6181,Data Scientist,San Diego,76357,0,true,foleychloe,+$dyxR_5eb:J
664e2763cd851d726ea8db7b,123,Michael Olsen,9076979114,Product Manager,Phoenix,118836,0,false,tuckerchristopher,"^/l&0""g6YD(I"
664e2763cd851d726ea8db7c,146,Julie Duran,(445)444-9046,System Administrator,Phoenix,145888,0,true,averyluis,|Fi8nyaa^5cT
664e2763cd851d726ea8db7d,537,Jonathan Spencer,524-619-1687,Software Engineer,San Diego,81460,0,true,gloriaryan,!C;F)i0!5-D6
664e2763cd851d726ea8db7e,996,Kelly Jones,327-656-8553,Product Manager,Los Angeles,66482,0,true,marie46,uC2`%blx;3=1
